model,validation,accuracy,balanced_accuracy,risk_f1,daily_accuracy,daily_balanced_accuracy,daily_risk_f1,deployment_selected,local_auxiliary_selected
logistic,leave_one_fruit_out,0.6176470588235294,0.6258223684210527,0.5617977528089888,0.7037037037037037,0.7215909090909092,0.6923076923076923,1,0
random_forest,leave_one_fruit_out,0.5980392156862745,0.6101973684210527,0.5494505494505495,0.7037037037037037,0.7215909090909092,0.6923076923076923,0,1
svm_rbf,leave_one_fruit_out,0.6666666666666666,0.686266447368421,0.6304347826086957,0.7407407407407407,0.7670454545454546,0.7407407407407407,0,0
