sample_id,storage_day,freshness_state,state_code,positions,valid_frames,collection_started_at,collection_ended_at,collection_date,collection_time_start,collection_time_end,temperature_c,weight_g,firmness_score,distance_mean_mm,distance_std_mm,surface_note,F1_415nm_mean,F1_415nm_spatial_cv_percent,F1_415nm_clear_norm,F2_445nm_mean,F2_445nm_spatial_cv_percent,F2_445nm_clear_norm,F3_480nm_mean,F3_480nm_spatial_cv_percent,F3_480nm_clear_norm,F4_515nm_mean,F4_515nm_spatial_cv_percent,F4_515nm_clear_norm,F5_555nm_mean,F5_555nm_spatial_cv_percent,F5_555nm_clear_norm,F6_590nm_mean,F6_590nm_spatial_cv_percent,F6_590nm_clear_norm,F7_630nm_mean,F7_630nm_spatial_cv_percent,F7_630nm_clear_norm,F8_680nm_mean,F8_680nm_spatial_cv_percent,F8_680nm_clear_norm,Clear_mean,Clear_spatial_cv_percent,NIR_mean,NIR_spatial_cv_percent,NIR_clear_norm,elapsed_hours_from_day0,firmness_change_from_day0,F1_415nm_vs_day0_percent,F2_445nm_vs_day0_percent,F3_480nm_vs_day0_percent,F4_515nm_vs_day0_percent,F5_555nm_vs_day0_percent,F6_590nm_vs_day0_percent,F7_630nm_vs_day0_percent,F8_680nm_vs_day0_percent,Clear_vs_day0_percent,NIR_vs_day0_percent
NECT01,0,fresh,0,4,80,2026-07-18T12:29:26.243000,2026-07-18T14:57:26.380000,2026-07-18,12:29:26,14:57:26,24.0,,4.0,18.125,2.372708754871326,无异常 | 无异常_重测,41.425,37.55456799551867,0.036910397059642476,117.975,38.2837305450396,0.10511778136659798,188.75,36.51077653643729,0.1681795400122515,278.675,35.82475820725953,0.24830428245252548,369.2125,34.714332678360556,0.32897477306899814,548.1125,35.731464553575556,0.48837779139054405,736.7875,36.14997228695474,0.656490505095506,598.0875,41.12437000577873,0.5329063874812051,1122.3125,23.549433813895433,86.2875,25.461592710578497,0.07688366653672662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECT01,1,fresh,0,4,80,2026-07-19T20:45:03.948000,2026-07-19T20:47:35.361000,2026-07-19,20:45:03,20:47:35,23.0,,4.0,18.7875,2.347601792727035,无异常,33.1875,16.490601380122513,0.03328193749764958,88.05,16.528309111340942,0.08830055281862284,141.9,13.470736604259253,0.1423037869956,219.4625,9.37780827612601,0.220086996853572,303.5875,11.135787169409236,0.3044513807930001,458.2875,17.167973326288198,0.45959159113985937,631.3625,18.348615898049296,0.6331590889147957,494.125,19.82183066058438,0.4955310694094493,997.1625,7.188495522862332,75.5875,7.635348712029119,0.07580258984869567,32.26047361111111,0.0,-19.885334942667466,-25.365543547361728,-24.82119205298013,-21.247869381896475,-17.77431695839117,-16.38805902073022,-14.308738951190142,-17.38249002027295,-11.151083143063985,-12.400405620744591
NECT01,2,fresh,0,4,80,2026-07-20T20:17:14.661000,2026-07-20T20:49:02.866000,2026-07-20,20:17:14,20:49:02,24.0,,4.0,19.275,3.0397160093866535,无异常,61.725,28.310632066633236,0.03633447139157052,156.0375,28.183124714849754,0.09185160113020956,245.1625,27.845106152016797,0.1443151047798446,399.3125,28.30918693106787,0.23505562750176595,559.5125,27.087401930245274,0.329357487638333,836.85,26.871150209750315,0.4926124323051566,1158.9,27.331395391386735,0.6821874264186485,960.6,29.21282760188512,0.5654579703319991,1698.8,25.537214699550514,133.7125,27.263717829097605,0.078709971744761,55.79678277777778,0.0,49.004224502112265,32.26319135410044,29.887417218543042,43.28967435184354,51.54213359515186,52.67851034231113,57.2909420966018,60.61195059251365,51.36604109817898,54.9616108938143
NECT01,3,fresh,0,4,80,2026-07-21T17:34:25.320000,2026-07-21T17:35:55.418000,2026-07-21,17:34:25,17:35:55,24.0,,4.0,19.3625,2.3234835806106076,无异常,57.1625,26.080969912265807,0.03129212598964,136.3,28.072182883655866,0.07461389499038587,214.7125,28.493433885993035,0.11753878157097011,330.7,28.844511038660503,0.1810331259964828,478.9125,27.084812788620766,0.2621682097181451,747.9125,26.707048817003443,0.4094252731988039,1064.4,26.527180643382707,0.5826781352000493,895.8125,26.725616578236732,0.4903892869117758,1826.7375,23.85695531948494,152.4,23.742774505564554,0.08342742183811304,77.08307694444444,0.0,37.99034399517201,15.532951896588276,13.754966887417222,18.668700098681253,29.71188678606495,36.452370635590334,44.46499160205623,49.77950550713734,62.76549535000277,76.6188613646241
NECT01,4,fresh,0,4,80,2026-07-22T20:33:23.634000,2026-07-22T20:34:54.881000,2026-07-22,20:33:23,20:34:54,24.0,,4.0,19.0875,2.5616141568564914,无异常,86.15,33.59608317692569,0.037313554045640344,208.9625,33.771224336637864,0.09050648331122602,329.6375,33.145402806913545,0.1427736119758534,520.3,32.45270016868114,0.22535394277361195,722.2375,30.814762053102445,0.31281773639046045,1111.9375,32.639681760594755,0.48160580384938145,1580.5375,33.40294997678232,0.6845672829647275,1382.6375,34.141632034610865,0.5988522238163558,2308.8125,24.720294089553853,199.75,29.423711635789235,0.08651633686148182,104.06594194444445,0.0,107.96620398310202,77.12439076075441,74.64238410596026,86.70494303400017,95.61566848359685,102.86665602408267,114.51741512987121,131.17645829414596,105.7192181322047,131.49355352745184
NECT01,5,fresh,0,4,80,2026-07-23T19:32:14.215000,2026-07-23T19:34:29.482000,2026-07-23,19:32:14,19:34:29,23.0,,3.0,20.125,2.6065885362803916,无异常,61.6875,15.764641616992375,0.03481874497297755,155.0875,17.322761445685632,0.08753721760480901,254.275,15.572892244511921,0.14352237289570605,396.0625,15.793089451914238,0.2235525703077596,530.3375,15.114180646521971,0.2993424301861233,786.35,14.123790894795398,0.44384551342655965,1112.275,14.706610456584022,0.6278098409697038,971.275,18.12069663447722,0.5482241381743266,1771.675,9.307768451279836,144.85,9.759032294545172,0.08175878758801698,127.04665888888889,-1.0,48.91369945684974,31.457936003390557,34.71523178807948,42.12344128465057,43.640180113078515,43.465073319802066,50.962794564240035,62.39680648734508,57.859330623155316,67.86904244531364
NECT01,6,warning,1,4,80,2026-07-24T20:28:31.431000,2026-07-24T20:30:27.009000,2026-07-24,20:28:31,20:30:27,23.0,,3.0,18.2625,2.7083730928597305,表面有软坑,67.3375,38.91534465661158,0.03857362786867639,171.7125,40.082110983409045,0.09836382514052487,282.7125,40.21196052000071,0.16194908882603556,454.5125,40.960936172447326,0.26036303748523143,583.95,39.897916946259414,0.3345100426049909,837.575,39.27991414594583,0.4797966417242491,1184.2125,36.547986157388074,0.6783645411907916,1040.0125,35.773150475635454,0.595760982420966,1745.6875,32.21261005268009,138.5,32.61756427751412,0.07933836955354266,151.98477444444444,-1.0,62.55280627640316,45.54990464081374,49.78145695364237,63.09769444693638,58.16095067203848,52.81078245798082,60.72646455049795,73.88969005371288,55.54379907556941,60.509923221787645
NECT02,0,fresh,0,4,80,2026-07-18T13:23:01.379000,2026-07-18T14:58:07.558000,2026-07-18,13:23:01,14:58:07,24.0,,4.0,18.7,2.8167671567223787,无异常 | 无异常_重测,21.1375,33.280722672619525,0.03315166248431618,48.0125,34.4659603332779,0.07530191342534505,68.3125,38.90383631771641,0.10714005646173148,93.4375,47.39806330806705,0.14654563989962358,135.975,45.15968863276703,0.21326066499372645,255.2,32.94831699510778,0.40025094102885816,421.375,37.50120402300681,0.6608767252195734,357.5625,47.4694808553521,0.5607943851944793,637.6,25.710953050998835,51.3375,26.161187673885006,0.08051678168130488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NECT02,1,fresh,0,4,80,2026-07-19T20:48:40.106000,2026-07-19T20:50:08.363000,2026-07-19,20:48:40,20:50:08,23.0,,4.0,17.8875,2.2104112109557774,无异常,33.0875,17.472551695408743,0.03522476246240651,87.2,27.87177797897656,0.09283261916801959,128.8125,34.652440546388824,0.13713304766720782,182.3625,40.15516781902794,0.1941420701035318,259.4375,38.85045972363026,0.2761956724243473,439.8,25.637500030520773,0.46820855401485106,654.65,12.607384555004378,0.696936630026881,525.7,7.687379877021182,0.5596572006494025,939.325,17.633074390821815,73.9625,12.45762870903567,0.0787400526974157,31.427424166666665,0.0,56.534594914251926,81.61936995574068,88.56358645928637,95.17056856187293,90.7979407979408,72.33542319749218,55.360427172945705,47.02324768397135,47.32198870765371,44.07109812515219
NECT02,2,fresh,0,4,80,2026-07-20T20:20:21.555000,2026-07-20T20:49:40.299000,2026-07-20,20:20:21,20:49:40,24.0,,4.0,17.4875,1.9872616487919987,无异常,37.575,28.57826947614488,0.0316121569039857,95.4375,37.03685394505402,0.08029235461142076,143.9375,42.51952669472374,0.12109580397518141,209.6375,47.759093837475724,0.17636975496897675,301.7125,47.49537172619763,0.25383321064254916,495.3125,36.3445356397422,0.41671048480387,732.675,24.64111110404181,0.6164055105689347,583.95,18.350560701639264,0.4912819434220213,1188.625,30.08971426258851,95.9125,26.88130790303222,0.08069197602271531,54.95560444444445,0.0,77.76463630987584,98.77636032283257,110.70448307410797,124.36120401337791,121.8882147453576,94.08797021943575,73.87718777810738,63.31410592553751,86.42173776662484,86.82736790844898
